Gender,Category,Article_type,Base_color,Season,Usage,Display_product_name,link_image
Women,Topwear,Blouse,White,Summer,Casual,Women Blouse White Casual,https://id.pinterest.com/pin/4611615743856415744/
Men,Footwear,Sneakers,Black,Fall,Sport,Men Sneakers Black Sport,https://id.pinterest.com/pin/571394271971902344/
Unisex,Accessories,Scarf,Red,Winter,Casual,Unisex Scarf Red Casual,https://id.pinterest.com/pin/910571618761907199/
Women,Shoes,Boots,Brown,Fall,Casual,Women Boots Brown Casual,https://id.pinterest.com/pin/1014998834768120932/
Men,Topwear,T-shirt,Blue,Summer,Casual,Men T-shirt Blue Casual,https://id.pinterest.com/pin/571394271758638213/
Women,Accessories,Handbag,Pink,Spring,Formal,Women Handbag Pink Formal,https://id.pinterest.com/pin/746964288331483128/
Unisex,Topwear,Hoodie,Gray,Winter,Casual,Unisex Hoodie Gray Casual,https://id.pinterest.com/pin/194147433931067945/
Men,Footwear,Loafers,Brown,Spring,Formal,Men Loafers Brown Formal,https://id.pinterest.com/pin/189291990780021083/
Women,Topwear,Dress,Green,Summer,Formal,Women Dress Green Formal,https://id.pinterest.com/pin/893190538705568885/
Unisex,Accessories,Beanie,Black,Winter,Casual,Unisex Beanie Black Casual,https://id.pinterest.com/pin/571394271977616535/
Men,Topwear,Shirt,White,Spring,Formal,Men Shirt White Formal,https://id.pinterest.com/pin/115615915430528667/
Women,Shoes,Sandals,Yellow,Summer,Casual,Women Sandals Yellow Casual,https://id.pinterest.com/pin/1125125919493441723/
Unisex,Topwear,Sweatshirt,Gray,Fall,Sport,Unisex Sweatshirt Gray Sport,https://id.pinterest.com/pin/181269954575154299/
Men,Footwear,Dress Shoes,Black,Fall,Formal,Men Dress Shoes Black Formal,https://id.pinterest.com/pin/4611615745082935296/
Women,Accessories,Necklace,Silver,Summer,Formal,Women Necklace Silver Formal,https://id.pinterest.com/pin/1068197605375886442/
Unisex,Topwear,Tank Top,White,Summer,Sport,Unisex Tank Top White Sport,https://id.pinterest.com/pin/181269954579044788/
Men,Topwear,Polo Shirt,Blue,Spring,Casual,Men Polo Shirt Blue Casual,https://id.pinterest.com/pin/571394271973005995/
Women,Footwear,Flats,Red,Fall,Casual,Women Flats Red Casual,https://id.pinterest.com/pin/571394271973817899/
Unisex,Accessories,Backpack,Black,Fall,Casual,Unisex Backpack Black Casual,https://id.pinterest.com/pin/1070801248899225060/
Men,Topwear,Sweater,Green,Winter,Casual,Men Sweater Green Casual,https://id.pinterest.com/pin/3307399720840504/
Women,Shoes,Heels,Black,Spring,Formal,Women Heels Black Formal,https://id.pinterest.com/pin/571394271979263439/
